8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,S,11,Historically Underperforming,23,0,8.7,17.39,73.91,
8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,S,Total,Historically Underperforming,23,0,8.7,17.39,73.91,
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,E,11,All Students,1,IS,IS,IS,IS,
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,E,Total,All Students,1,IS,IS,IS,IS,IS
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,E,11,Historically Underperforming,1,IS,IS,IS,IS,
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,E,Total,Historically Underperforming,1,IS,IS,IS,IS,
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,M,11,All Students,1,IS,IS,IS,IS,
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,M,Total,All Students,1,IS,IS,IS,IS,IS
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,M,11,Historically Underperforming,1,IS,IS,IS,IS,
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,M,Total,Historically Underperforming,1,IS,IS,IS,IS,
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,S,11,All Students,1,IS,IS,IS,IS,
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,S,Total,All Students,1,IS,IS,IS,IS,IS
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,S,11,Historically Underperforming,1,IS,IS,IS,IS,
6661,ADMIRAL PEARY AVTS,ADMIRAL PEARY AVTS,S,Total,Historically Underperforming,1,IS,IS,IS,IS,
7858,AGORA CYBER CS,AGORA CYBER CS,E,11,All Students,936,1.5,47.12,38.57,12.82,
7858,AGORA CYBER CS,AGORA CYBER CS,E,Total,All Students,936,1.5,47.12,38.57,12.82,63
7858,AGORA CYBER CS,AGORA CYBER CS,E,11,Historically Underperforming,660,0.76,42.73,41.06,15.45,
7858,AGORA CYBER CS,AGORA CYBER CS,E,Total,Historically Underperforming,660,0.76,42.73,41.06,15.45,
7858,AGORA CYBER CS,AGORA CYBER CS,M,11,All Students,947,3.59,22.39,46.78,27.24,
7858,AGORA CYBER CS,AGORA CYBER CS,M,Total,All Students,947,3.59,22.39,46.78,27.24,50
7858,AGORA CYBER CS,AGORA CYBER CS,M,11,Historically Underperforming,669,2.99,18.54,45.59,32.88,
7858,AGORA CYBER CS,AGORA CYBER CS,M,Total,Historically Underperforming,669,2.99,18.54,45.59,32.88,
7858,AGORA CYBER CS,AGORA CYBER CS,S,11,All Students,945,5.19,23.92,29.84,41.06,
7858,AGORA CYBER CS,AGORA CYBER CS,S,Total,All Students,945,5.19,23.92,29.84,41.06,50
7858,AGORA CYBER CS,AGORA CYBER CS,S,11,Historically Underperforming,667,3.9,19.49,27.59,49.03,
7858,AGORA CYBER CS,AGORA CYBER CS,S,Total,Historically Underperforming,667,3.9,19.49,27.59,49.03,
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,E,11,All Students,246,7.72,61.79,26.02,4.47,
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,E,Total,All Students,246,7.72,61.79,26.02,4.47,100
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,E,11,Historically Underperforming,133,3.76,51.13,38.35,6.77,
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,E,Total,Historically Underperforming,133,3.76,51.13,38.35,6.77,
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,M,11,All Students,247,3.64,44.53,40.89,10.93,
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,M,Total,All Students,247,3.64,44.53,40.89,10.93,71
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,M,11,Historically Underperforming,134,1.49,29.85,51.49,17.16,
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,M,Total,Historically Underperforming,134,1.49,29.85,51.49,17.16,
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,S,11,All Students,246,9.76,37.8,28.05,24.39,
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,S,Total,All Students,246,9.76,37.8,28.05,24.39,74
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,S,11,Historically Underperforming,133,3.01,29.32,32.33,35.34,
6001,ALBERT GALLATIN AREA SD,ALBERT GALLATIN AREA HS,S,Total,Historically Underperforming,133,3.01,29.32,32.33,35.34,
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,E,11,All Students,75,1.33,36,46.67,16,
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,E,Total,All Students,75,1.33,36,46.67,16,77
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,E,11,Historically Underperforming,69,0,33.33,49.28,17.39,
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,E,Total,Historically Underperforming,69,0,33.33,49.28,17.39,
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,M,11,All Students,75,1.33,29.33,56,13.33,
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,M,Total,All Students,75,1.33,29.33,56,13.33,50
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,M,11,Historically Underperforming,69,0,27.54,57.97,14.49,
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,M,Total,Historically Underperforming,69,0,27.54,57.97,14.49,
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,S,11,All Students,74,1.35,9.46,35.14,54.05,
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,S,Total,All Students,74,1.35,9.46,35.14,54.05,50
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,S,11,Historically Underperforming,68,0,8.82,35.29,55.88,
8086,ALIQUIPPA SD,ALIQUIPPA JSHS,S,Total,Historically Underperforming,68,0,8.82,35.29,55.88,
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,E,11,All Students,70,5.71,81.43,11.43,1.43,
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,E,Total,All Students,70,5.71,81.43,11.43,1.43,96
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,E,11,Historically Underperforming,32,0,81.25,15.63,3.13,
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,E,Total,Historically Underperforming,32,0,81.25,15.63,3.13,
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,M,11,All Students,68,25,44.12,29.41,1.47,
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,M,Total,All Students,68,25,44.12,29.41,1.47,61
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,M,11,Historically Underperforming,30,13.33,43.33,40,3.33,
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,M,Total,Historically Underperforming,30,13.33,43.33,40,3.33,
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,S,11,All Students,66,13.64,42.42,25.76,18.18,
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,S,Total,All Students,66,13.64,42.42,25.76,18.18,100
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,S,11,Historically Underperforming,28,3.57,42.86,35.71,17.86,
29,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,S,Total,Historically Underperforming,28,3.57,42.86,35.71,17.86,
4664,ALLEGHENY-CLARION VALLEY SD,ALLEGHENY-CLARION VA,E,11,All Students,54,1.85,57.41,29.63,11.11,
4664,ALLEGHENY-CLARION VALLEY SD,ALLEGHENY-CLARION VA,E,Total,All Students,54,1.85,57.41,29.63,11.11,71
4664,ALLEGHENY-CLARION VALLEY SD,ALLEGHENY-CLARION VA,E,11,Historically Underperforming,30,0,53.33,33.33,13.33,
4664,ALLEGHENY-CLARION VALLEY SD,ALLEGHENY-CLARION VA,E,Total,Historically Underperforming,30,0,53.33,33.33,13.33,
4664,ALLEGHENY-CLARION VALLEY SD,ALLEGHENY-CLARION VA,M,11,All Students,54,22.22,44.44,25.93,7.41,
4664,ALLEGHENY-CLARION VALLEY SD,ALLEGHENY-CLARION VA,M,Total,All Students,54,22.22,44.44,25.93,7.41,92
4664,ALLEGHENY-CLARION VALLEY SD,ALLEGHENY-CLARION VA,M,11,Historically Underperforming,30,10,43.33,33.33,13.33,
4664,ALLEGHENY-CLARION VALLEY SD,ALLEGHENY-CLARION VA,M,Total,Historically Underperforming,30,10,43.33,33.33,13.33,
4664,ALLEGHENY-CLARION VALLEY SD,ALLEGHENY-CLARION VA,S,11,All Students,54,5.56,64.81,27.78,1.85,
